source_run_id,source_category,source_status,source_metric_a,source_metric_b
RUN_001,category_group_a,status_group_a,32.934,31.566
RUN_001,category_group_b,status_group_b,29.964,35.267
RUN_001,category_group_c,status_group_c,32.353,45.468
RUN_002,category_group_a,status_group_a,44.463,36.814
RUN_002,category_group_b,status_group_b,42.115,35.276
RUN_002,category_group_c,status_group_c,53.928,42.6
RUN_003,category_group_a,status_group_a,42.562,46.702
RUN_003,category_group_b,status_group_b,38.276,54.92
RUN_003,category_group_c,status_group_c,35.64,54.826
RUN_004,category_group_a,status_group_a,37.158,39.783
RUN_004,category_group_b,status_group_b,39.486,24.869
RUN_004,category_group_c,status_group_c,43.853,37.723
RUN_005,category_group_a,status_group_a,40.023,31.214
RUN_005,category_group_b,status_group_b,45.095,33.253
RUN_005,category_group_c,status_group_c,39.908,38.852
RUN_006,category_group_a,status_group_a,57.725,66.627
RUN_006,category_group_b,status_group_b,52.967,62.775
RUN_006,category_group_c,status_group_c,52.784,63.52
RUN_007,category_group_a,status_group_a,33.557,35.222
RUN_007,category_group_b,status_group_b,30.567,45.129
RUN_007,category_group_c,status_group_c,39.376,41.161
RUN_008,category_group_a,status_group_a,44.569,36.8
RUN_008,category_group_b,status_group_b,40.914,44.531
RUN_008,category_group_c,status_group_c,47.415,40.912
RUN_009,category_group_a,status_group_a,52.5,25.033
RUN_009,category_group_b,status_group_b,55.115,26.745
RUN_009,category_group_c,status_group_c,54.932,25.093
RUN_010,category_group_a,status_group_a,34.168,61.801
RUN_010,category_group_b,status_group_b,40.192,61.141
RUN_010,category_group_c,status_group_c,35.914,65.769
RUN_011,category_group_a,status_group_a,55.119,36.389
RUN_011,category_group_b,status_group_b,48.593,29.59
RUN_011,category_group_c,status_group_c,51.536,24.537
RUN_012,category_group_a,status_group_a,60.763,68.266
RUN_012,category_group_b,status_group_b,65.807,69.151
RUN_012,category_group_c,status_group_c,55.37,71.851
RUN_013,category_group_a,status_group_a,44.325,40.653
RUN_013,category_group_b,status_group_b,46.384,47.053
RUN_013,category_group_c,status_group_c,52.868,48.754
RUN_014,category_group_a,status_group_a,48.036,66.876
RUN_014,category_group_b,status_group_b,47.425,66.307
RUN_014,category_group_c,status_group_c,54.253,63.873
RUN_015,category_group_a,status_group_a,65.456,58.857
RUN_015,category_group_b,status_group_b,74.466,55.014
RUN_015,category_group_c,status_group_c,73.533,59.46
RUN_016,category_group_a,status_group_a,45.863,57.153
RUN_016,category_group_b,status_group_b,49.914,58.844
RUN_016,category_group_c,status_group_c,43.502,60.814
RUN_017,category_group_a,status_group_a,37.621,43.459
RUN_017,category_group_b,status_group_b,36.183,42.987
RUN_017,category_group_c,status_group_c,35.623,50.289
RUN_018,category_group_a,status_group_a,62.584,73.582
RUN_018,category_group_b,status_group_b,67.146,71.048
RUN_018,category_group_c,status_group_c,61.844,69.514
RUN_019,category_group_a,status_group_a,53.662,45.158
RUN_019,category_group_b,status_group_b,63.703,46.816
RUN_019,category_group_c,status_group_c,50.255,33.142
RUN_020,category_group_a,status_group_a,53.421,42.225
RUN_020,category_group_b,status_group_b,51.205,41.908
RUN_020,category_group_c,status_group_c,47.008,42.324
RUN_021,category_group_a,status_group_a,46.234,51.042
RUN_021,category_group_b,status_group_b,45.897,45.067
RUN_021,category_group_c,status_group_c,51.277,34.763
RUN_022,category_group_a,status_group_a,57.411,52.06
