source_run_id,source_run_start_date,source_run_end_date,source_unit_label,source_group_label,source_feature_12,source_feature_13,source_feature_14,source_feature_15,source_target_metric
RUN_001,2025-01-06,2025-01-20,GR01,group_3,0.58916,6.35117,cat_b,type_z,0.04075
RUN_002,2025-01-09,2025-01-23,GR02,group_2,0.61701,6.2432,cat_b,type_y,0.04251
RUN_003,2025-01-12,2025-01-26,GR03,group_3,0.60364,6.29788,cat_b,type_x,0.04745
RUN_004,2025-01-15,2025-01-29,GR04,group_2,0.6106,6.49619,cat_a,type_x,0.06511
RUN_005,2025-01-18,2025-02-01,GR05,group_1,0.62561,6.30802,cat_a,type_y,0.05562
RUN_006,2025-01-21,2025-02-04,GR06,group_3,0.6689,6.36618,cat_b,type_x,0.03971
RUN_007,2025-01-24,2025-02-07,GR01,group_3,0.62127,6.38069,cat_a,type_y,0.07054
RUN_008,2025-01-27,2025-02-10,GR02,group_2,0.62264,6.30181,cat_b,type_z,0.05049
RUN_009,2025-01-30,2025-02-13,GR03,group_1,0.64783,6.47284,cat_b,type_x,0.04609
RUN_010,2025-02-02,2025-02-16,GR04,group_3,0.63193,6.46474,cat_c,type_y,0.06611
RUN_011,2025-02-05,2025-02-19,GR05,group_1,0.67012,6.34652,cat_a,type_x,0.03594
RUN_012,2025-02-08,2025-02-22,GR06,group_3,0.62957,6.35353,cat_a,type_z,0.05125
RUN_013,2025-02-11,2025-02-25,GR01,group_3,0.65433,6.3349,cat_b,type_x,0.04635
RUN_014,2025-02-14,2025-02-28,GR02,group_1,0.61074,6.36441,cat_b,type_x,0.05109
RUN_015,2025-02-17,2025-03-03,GR03,group_2,0.6549,6.38146,cat_b,type_y,0.02381
RUN_016,2025-02-20,2025-03-06,GR04,group_1,0.63103,6.24459,cat_a,type_y,0.07266
RUN_017,2025-02-23,2025-03-09,GR05,group_3,0.65247,6.3766,cat_c,type_z,0.02867
RUN_018,2025-02-26,2025-03-12,GR06,group_2,0.64524,6.22334,cat_c,type_x,0.03662
RUN_019,2025-03-01,2025-03-15,GR01,group_2,0.64953,6.24998,cat_b,type_x,0.05825
RUN_020,2025-03-04,2025-03-18,GR02,group_1,0.63461,6.20509,cat_b,type_y,0.04917
RUN_021,2025-03-07,2025-03-21,GR03,group_1,0.65601,6.16633,cat_a,type_x,0.03613
RUN_022,2025-03-10,2025-03-24,GR04,group_2,0.66307,6.32701,cat_a,type_y,0.04501
RUN_023,2025-03-13,2025-03-27,GR05,group_2,0.6205,6.26508,cat_b,type_y,0.05525
RUN_024,2025-03-16,2025-03-30,GR06,group_2,0.65423,6.2457,cat_b,type_y,0.03647
RUN_025,2025-03-19,2025-04-02,GR01,group_1,0.631,6.15914,cat_a,type_y,0.06643
RUN_026,2025-03-22,2025-04-05,GR02,group_1,0.63717,6.20979,cat_c,type_y,0.05457
RUN_027,2025-03-25,2025-04-08,GR03,group_2,0.66277,6.24772,cat_b,type_y,0.02933
RUN_028,2025-03-28,2025-04-11,GR04,group_3,0.66235,6.1989,cat_c,type_x,0.03097
RUN_029,2025-03-31,2025-04-14,GR05,group_1,0.63496,6.07665,cat_b,type_x,0.04015
RUN_030,2025-04-03,2025-04-17,GR06,group_2,0.65403,6.01707,cat_b,type_x,0.02928
RUN_031,2025-04-06,2025-04-20,GR01,group_1,0.65582,6.15139,cat_a,type_z,0.02853
RUN_032,2025-04-09,2025-04-23,GR02,group_3,0.6479,6.13045,cat_b,type_x,0.03722
RUN_033,2025-04-12,2025-04-26,GR03,group_2,0.64808,6.1423,cat_b,type_x,0.0278
RUN_034,2025-04-15,2025-04-29,GR04,group_3,0.65012,5.94713,cat_a,type_z,0.04024
RUN_035,2025-04-18,2025-05-02,GR05,group_2,0.64178,6.05228,cat_c,type_x,0.02878
RUN_036,2025-04-21,2025-05-05,GR06,group_2,0.64066,5.89122,cat_b,type_x,0.04146
RUN_037,2025-04-24,2025-05-08,GR01,group_2,0.62859,6.15948,cat_b,type_z,0.03971
RUN_038,2025-04-27,2025-05-11,GR02,group_2,0.64535,6.11886,cat_b,type_z,0.02591
RUN_039,2025-04-30,2025-05-14,GR03,group_1,0.65567,6.02424,cat_b,type_z,0.00073
RUN_040,2025-05-03,2025-05-17,GR04,group_3,0.63399,6.08344,cat_b,type_z,0.02475
RUN_041,2025-05-06,2025-05-20,GR05,group_2,0.65925,6.11802,cat_c,type_x,0.0
RUN_042,2025-05-09,2025-05-23,GR06,group_2,0.66662,6.04634,cat_b,type_y,0.0
RUN_043,2025-05-12,2025-05-26,GR01,group_3,0.64967,5.84734,cat_a,type_x,0.0
RUN_044,2025-05-15,2025-05-29,GR02,group_2,0.60935,6.04018,cat_a,type_z,0.01656
RUN_045,2025-05-18,2025-06-01,GR03,group_1,0.63876,5.90281,cat_c,type_y,0.01929
RUN_046,2025-05-21,2025-06-04,GR04,group_3,0.67959,6.02324,cat_c,type_x,0.0
RUN_047,2025-05-24,2025-06-07,GR05,group_1,0.64814,6.08931,cat_b,type_z,0.00814
RUN_048,2025-05-27,2025-06-10,GR06,group_3,0.6664,6.0585,cat_a,type_y,0.0
RUN_049,2025-05-30,2025-06-13,GR01,group_3,0.65671,6.04737,cat_a,type_y,0.0
RUN_050,2025-06-02,2025-06-16,GR02,group_2,0.60399,5.95457,cat_b,type_z,0.01358
RUN_051,2025-06-05,2025-06-19,GR03,group_1,0.61857,5.94813,cat_a,type_z,0.01299
RUN_052,2025-06-08,2025-06-22,GR04,group_2,0.65637,5.9925,cat_a,type_x,0.00146
RUN_053,2025-06-11,2025-06-25,GR05,group_3,0.66147,5.99886,cat_a,type_z,0.0
RUN_054,2025-06-14,2025-06-28,GR06,group_3,0.63751,6.06005,cat_b,type_z,0.00172
RUN_055,2025-06-17,2025-07-01,GR01,group_1,0.59988,6.01594,cat_b,type_y,0.0
RUN_056,2025-06-20,2025-07-04,GR02,group_3,0.59342,5.96955,cat_c,type_x,0.0
RUN_057,2025-06-23,2025-07-07,GR03,group_1,0.62123,5.84236,cat_a,type_y,0.00882
RUN_058,2025-06-26,2025-07-10,GR04,group_2,0.63223,5.99246,cat_b,type_y,0.01033
RUN_059,2025-06-29,2025-07-13,GR05,group_1,0.62548,6.11119,cat_a,type_x,0.0
RUN_060,2025-07-02,2025-07-16,GR06,group_1,0.63564,6.06562,cat_b,type_x,0.0214
RUN_061,2025-07-05,2025-07-19,GR01,group_1,0.62941,6.08945,cat_a,type_y,0.00226
RUN_062,2025-07-08,2025-07-22,GR02,group_1,0.61678,5.84854,cat_b,type_x,0.0
RUN_063,2025-07-11,2025-07-25,GR03,group_1,0.59982,5.91369,cat_c,type_y,0.0
RUN_064,2025-07-14,2025-07-28,GR04,group_3,0.56342,5.93971,cat_c,type_y,0.0
