source_run_id,feature_16,feature_17
RUN_001,1.07154,0.90436
RUN_002,0.87798,0.7983
RUN_003,0.79136,0.69557
RUN_004,0.95214,0.9417
RUN_005,0.80102,0.66992
RUN_006,0.81762,0.80364
RUN_007,0.8683,0.85627
RUN_008,0.80812,0.55777
RUN_009,1.03336,0.97743
RUN_010,0.73321,0.40949
RUN_011,0.79724,0.63928
RUN_012,0.73236,0.58059
RUN_013,0.78944,0.74178
RUN_014,0.76401,0.81177
RUN_015,0.84798,0.80936
RUN_016,0.86639,0.77752
RUN_017,0.88469,0.99073
RUN_018,0.86416,0.958
RUN_019,0.84108,0.79576
RUN_020,0.8722,0.76707
RUN_021,0.75862,0.64657
RUN_022,0.86226,0.77272
RUN_023,0.76637,0.82036
RUN_024,0.6859,0.58365
RUN_025,0.82076,0.79939
RUN_026,0.69229,0.54899
RUN_027,0.66219,0.6267
RUN_028,0.75362,0.65567
RUN_029,0.83854,0.80931
RUN_030,0.71051,0.57385
RUN_031,0.70229,0.57509
RUN_032,0.69414,0.63421
RUN_033,0.60754,0.37434
RUN_034,0.76948,0.83142
RUN_035,0.5896,0.5041
RUN_036,0.77145,0.7981
RUN_037,0.5685,0.47031
RUN_038,0.541,0.51807
RUN_039,0.6694,0.38662
RUN_040,0.57473,0.4468
RUN_041,0.5654,0.49716
RUN_042,0.60733,0.52163
RUN_043,0.55423,0.57315
RUN_044,0.55076,0.45626
RUN_045,0.49043,0.37471
RUN_046,0.60494,0.32002
RUN_047,0.55031,0.27855
RUN_048,0.708,0.68789
RUN_049,0.57981,0.49961
RUN_050,0.64182,0.64503
RUN_051,0.47703,0.45316
RUN_052,0.70981,0.63783
RUN_053,0.43627,0.45438
RUN_054,0.48375,0.37107
RUN_055,0.54691,0.49655
RUN_056,0.48623,0.34547
RUN_057,0.65544,0.50537
RUN_058,0.65608,0.75892
RUN_059,0.47701,0.32024
RUN_060,0.54873,0.46083
RUN_061,0.53612,0.63615
RUN_062,0.54129,0.47297
RUN_063,0.70009,0.51465
RUN_064,0.46967,0.35766
RUN_065,0.59109,0.47234
RUN_066,0.5016,0.2
RUN_067,0.65692,0.66243
RUN_068,0.64869,0.69317
RUN_069,0.4604,0.30012
RUN_070,0.51473,0.40536
RUN_071,0.61176,0.38008
RUN_072,0.41397,0.45412
RUN_073,0.45718,0.42031
RUN_074,0.55597,0.55722
RUN_075,0.53723,0.48579
RUN_076,0.69133,0.6645
RUN_077,0.63135,0.3742
RUN_078,0.61842,0.53372
RUN_079,0.57684,0.69868
RUN_080,0.5532,0.58052
RUN_081,0.69783,0.63976
RUN_082,0.58674,0.6753
RUN_083,0.60253,0.81097
RUN_084,0.76679,0.73896
RUN_085,0.70514,0.7194
RUN_086,0.59822,0.73484
RUN_087,0.71028,0.66135
RUN_088,0.86499,0.95616
RUN_089,0.63026,0.59838
RUN_090,0.62408,0.67393
RUN_091,0.54812,0.58304
RUN_092,0.77996,0.76448
RUN_093,0.67531,0.67544
RUN_094,0.78411,0.91183
RUN_095,0.68469,0.68043
RUN_096,0.64444,0.6895
RUN_097,0.6745,0.58619
RUN_098,0.8057,0.91998
RUN_099,0.67617,0.79045
RUN_100,0.74447,0.73843
RUN_101,0.86227,0.91124
RUN_102,0.6755,0.80788
RUN_103,0.90541,0.83422
RUN_104,0.89909,0.95383
RUN_105,0.84277,0.83067
RUN_106,0.87168,0.86515
RUN_107,0.92404,0.88747
RUN_108,0.8017,0.93213
RUN_109,0.69907,0.76385
RUN_110,0.98103,1.1225
RUN_111,0.85708,1.08241
RUN_112,0.86529,0.98871
RUN_113,0.89303,0.7134
RUN_114,0.80378,0.77986
RUN_115,1.01298,1.06341
RUN_116,0.82901,0.71062
RUN_117,0.78314,0.73482
RUN_118,0.98937,0.94138
RUN_119,0.89562,0.95945
RUN_120,0.83718,0.78793
