run_id,run_start_date,unit_label,synthetic_regime,season_sin,season_cos,drift,latent_feature_1_level,latent_feature_4_1_level,latent_feature_8_level,latent_feature_9_level,target_metric_primary,target_percent,contrib_persistent_moisture,contrib_persistent_feature_13,contrib_persistent_treatment,contrib_persistent_external,contrib_regime_specific,contrib_random_instability
RUN_001,2025-01-06,GR01,regime_a,0.0,1.0,0.0,57.42579,51.62545,1147.79781,0.63616,0.04075,4.075,-1.2315,0.21349,-0.12539,-0.46917,-0.3052,0.60279
RUN_002,2025-01-09,GR02,regime_a,0.052336,0.99863,0.008403,60.59167,55.07526,1148.44138,0.56813,0.04251,4.251,-0.06126,0.12172,-0.05976,-0.80231,-0.55212,-0.03369
RUN_003,2025-01-12,GR03,regime_a,0.104528,0.994522,0.016807,57.89199,54.28954,1187.24078,0.6121,0.04745,4.745,-0.43745,0.1682,-0.07184,-0.70408,-0.94757,1.19194
RUN_004,2025-01-15,GR04,regime_a,0.156434,0.987688,0.02521,64.58361,56.7033,1171.90153,0.64044,0.06511,6.511,-0.19867,0.33676,-0.00783,-0.66827,1.16863,0.05012
RUN_005,2025-01-18,GR05,regime_a,0.207912,0.978148,0.033613,62.23419,52.2362,1173.71416,0.59435,0.05562,5.562,-0.00036,0.17682,-0.09833,-0.6587,0.31955,0.21104
RUN_006,2025-01-21,GR06,regime_a,0.258819,0.965926,0.042017,62.5949,55.61212,1184.97112,0.58847,0.03971,3.971,-1.84727,0.22625,-0.01048,-0.9777,0.79953,0.23863
RUN_007,2025-01-24,GR01,regime_a,0.309017,0.951057,0.05042,62.83571,55.35511,1124.66271,0.53454,0.07054,7.054,-0.01334,0.23858,-0.00902,-0.59066,0.68756,1.27009
RUN_008,2025-01-27,GR02,regime_a,0.358368,0.93358,0.058824,61.83211,55.9871,1090.13166,0.64337,0.05049,5.049,-0.00535,0.17154,-0.18776,-0.81376,0.12629,0.23174
RUN_009,2025-01-30,GR03,regime_a,0.406737,0.913545,0.067227,63.2695,57.52447,997.80942,0.61111,0.04609,4.609,-0.49956,0.31691,-0.04195,-1.01001,-0.22882,0.65203
RUN_010,2025-02-02,GR04,regime_a,0.45399,0.891007,0.07563,68.11928,56.1903,1085.25338,0.58995,0.06611,6.611,-0.04598,0.31003,-0.24279,-0.66136,1.67595,0.25336
RUN_011,2025-02-05,GR05,regime_a,0.5,0.866025,0.084034,65.64964,56.52732,1136.59595,0.59877,0.03594,3.594,-1.95193,0.20954,-0.11847,-0.89921,1.06672,-0.17469
RUN_012,2025-02-08,GR06,regime_a,0.544639,0.838671,0.092437,65.00615,53.4587,1117.11927,0.62469,0.05125,5.125,-0.02005,0.2155,-0.11383,-1.15877,1.28256,-0.64079
RUN_013,2025-02-11,GR01,regime_a,0.587785,0.809017,0.10084,61.70688,59.82064,1121.60717,0.67945,0.04635,4.635,-0.82482,0.19966,-0.03574,-0.82868,0.68348,0.32446
RUN_014,2025-02-14,GR02,regime_a,0.62932,0.777146,0.109244,62.08325,56.71874,1119.54703,0.58105,0.05109,5.109,-0.19501,0.22475,0.03582,-0.90069,0.61225,-0.00882
RUN_015,2025-02-17,GR03,regime_a,0.669131,0.743145,0.117647,64.86164,59.33954,1068.76747,0.59411,0.02381,2.381,-0.85728,0.23924,-0.02897,-1.21739,0.64908,-1.62709
RUN_016,2025-02-20,GR04,regime_a,0.707107,0.707107,0.12605,72.00602,59.34066,1094.13602,0.65642,0.07266,7.266,-0.03486,0.1229,-0.06665,-0.9192,2.64333,0.03561
RUN_017,2025-02-23,GR05,regime_a,0.743145,0.669131,0.134454,59.61288,60.42625,1087.51011,0.70606,0.02867,2.867,-0.72333,0.23511,0.07953,-0.63173,-1.22438,0.25777
RUN_018,2025-02-26,GR06,regime_a,0.777146,0.62932,0.142857,62.5679,61.10601,1117.69345,0.61692,0.03662,3.662,-0.39281,0.10484,0.07038,-1.17066,0.30947,-0.22078
RUN_019,2025-03-01,GR01,regime_a,0.809017,0.587785,0.151261,67.8306,61.46071,1015.96368,0.67298,0.05825,5.825,-0.57697,0.12748,-0.03399,-0.96292,1.9813,0.41164
RUN_020,2025-03-04,GR02,regime_a,0.838671,0.544639,0.159664,65.92967,60.79208,1014.05358,0.73508,0.04917,4.917,-0.08862,0.08933,-0.07885,-0.93739,1.49967,-0.66121
RUN_021,2025-03-07,GR03,regime_a,0.866025,0.5,0.168067,65.32974,58.56978,1014.04358,0.64764,0.03613,3.613,-0.92204,0.05638,-0.08404,-0.84302,0.34799,-0.0903
RUN_022,2025-03-10,GR04,regime_a,0.891007,0.45399,0.176471,65.443,55.69163,1004.39132,0.6962,0.04501,4.501,-1.38952,0.19296,-0.06715,-1.03677,0.77686,0.8031
RUN_023,2025-03-13,GR05,regime_a,0.913545,0.406737,0.184874,69.2637,61.32717,1049.41151,0.6716,0.05525,5.525,-0.01944,0.14031,0.0405,-0.90456,2.08481,-0.61018
RUN_024,2025-03-16,GR06,regime_a,0.93358,0.358368,0.193277,66.06904,58.71259,996.39423,0.69469,0.03647,3.647,-0.81924,0.12385,-0.07669,-0.80811,0.51467,-0.16244
RUN_025,2025-03-19,GR01,regime_a,0.951057,0.309017,0.201681,73.00061,57.40242,1016.25134,0.66909,0.06643,6.643,-0.03447,0.05027,-0.01603,-1.05151,2.62929,0.29022
RUN_026,2025-03-22,GR02,regime_a,0.965926,0.258819,0.210084,68.23043,56.21412,1010.89027,0.67876,0.05457,5.457,-0.14201,0.09332,-0.10747,-0.97439,1.75713,0.21538
RUN_027,2025-03-25,GR03,regime_a,0.978148,0.207912,0.218487,66.8739,61.52656,1043.71419,0.66717,0.02933,2.933,-1.36766,0.12556,-0.02662,-0.80715,0.7048,-0.36992
RUN_028,2025-03-28,GR04,regime_a,0.987688,0.156434,0.226891,69.42206,61.09508,972.84155,0.68369,0.03097,3.097,-1.33706,0.08406,-0.07347,-1.05525,1.42335,-0.49778
RUN_029,2025-03-31,GR05,regime_a,0.994522,0.104528,0.235294,65.11452,59.09819,1045.04785,0.67155,0.04015,4.015,-0.09503,-0.01985,-0.02192,-0.75707,0.83086,-0.41294
RUN_030,2025-04-03,GR06,regime_a,0.99863,0.052336,0.243697,65.96938,62.40331,930.08661,0.66987,0.02928,2.928,-0.80777,-0.07049,-0.10249,-0.80684,0.50754,-0.36113
RUN_031,2025-04-06,GR01,regime_a,1.0,0.0,0.252101,67.55982,60.66799,901.18854,0.69741,0.02853,2.853,-0.91041,0.04368,-0.0954,-1.04881,0.87425,-0.47731
