run_id,run_start_date,oob_r2,topk_mdi_raw,pi_r2_drop_topk
RUN_025,2025-03-19,0.2907085236516984,"feature_3_median_WINDOW_1(0.204), feature_3_median_WINDOW_3(0.087), feature_3_median_WINDOW_2(0.070), feature_4_mean_lag1_autocorr_WINDOW_2(0.040), feature_1_block_median_WINDOW_2(0.037)","feature_3_median_WINDOW_1(0.367), feature_1_block_dominant_freq_WINDOW_2(0.046), feature_3_median_WINDOW_2(0.046), feature_3_median_WINDOW_3(0.044), feature_4_mean_lag1_autocorr_WINDOW_2(0.025)"
RUN_026,2025-03-22,0.4765304646625814,"feature_3_median_WINDOW_1(0.211), feature_3_median_WINDOW_2(0.116), feature_3_median_WINDOW_3(0.073), cai_f1_over_f3_WINDOW_3(0.047), feature_12(0.041)","feature_3_median_WINDOW_1(0.157), feature_3_median_WINDOW_2(0.096), feature_1_block_median_WINDOW_2(0.037), feature_1_block_median_WINDOW_3(0.032), feature_3_slope_WINDOW_1(0.029)"
RUN_027,2025-03-25,0.43231891130102085,"feature_3_median_WINDOW_1(0.221), feature_3_median_WINDOW_3(0.079), feature_3_median_WINDOW_2(0.066), feature_10_ext_metric_resid_std_WINDOW_2(0.055), feature_12(0.041)","feature_3_median_WINDOW_1(0.377), feature_3_median_WINDOW_3(0.060), feature_1_block_median_WINDOW_3(0.056), feature_1_block_median_WINDOW_1(0.044), feature_1_block_median_WINDOW_2(0.042)"
RUN_028,2025-03-28,0.5053843299581666,"feature_3_median_WINDOW_1(0.222), feature_3_median_WINDOW_2(0.086), feature_3_median_WINDOW_3(0.078), feature_10_ext_metric_resid_std_WINDOW_2(0.072), feature_1_block_median_WINDOW_1(0.050)","feature_3_median_WINDOW_1(0.236), feature_3_median_WINDOW_3(0.044), feature_3_median_WINDOW_2(0.040), feature_1_block_median_WINDOW_3(0.035), feature_1_block_median_WINDOW_1(0.031)"
RUN_029,2025-03-31,0.43476688007387254,"feature_3_median_WINDOW_3(0.212), feature_3_median_WINDOW_1(0.125), feature_12(0.096), feature_3_median_WINDOW_2(0.094), feature_10_ext_metric_resid_std_WINDOW_2(0.026)","feature_3_median_WINDOW_3(0.273), feature_3_median_WINDOW_1(0.149), feature_12(0.109), feature_3_median_WINDOW_2(0.075), cai_f1_over_f3_WINDOW_3(0.048)"
RUN_030,2025-04-03,0.4457032558936208,"feature_3_median_WINDOW_1(0.296), feature_3_median_WINDOW_3(0.123), feature_3_median_WINDOW_2(0.098), feature_1_block_median_WINDOW_1(0.039), feature_1_block_median_WINDOW_3(0.031)","feature_3_median_WINDOW_1(0.486), feature_3_median_WINDOW_3(0.151), feature_12(0.054), feature_3_median_WINDOW_2(0.049), feature_1_block_median_WINDOW_1(0.026)"
RUN_031,2025-04-06,0.4014926171404892,"feature_3_median_WINDOW_1(0.314), feature_3_median_WINDOW_3(0.110), feature_3_median_WINDOW_2(0.087), feature_1_block_median_WINDOW_1(0.040), feature_12(0.038)","feature_3_median_WINDOW_3(0.556), feature_12(0.103), feature_4_mean_lag1_autocorr_WINDOW_1(0.034), feature_4_mean_slope_WINDOW_1(0.033), feature_3_dominant_freq_WINDOW_2(0.016)"
RUN_032,2025-04-09,0.2545232028054103,"feature_3_median_WINDOW_1(0.293), feature_3_median_WINDOW_2(0.107), feature_3_median_WINDOW_3(0.102), feature_12(0.039), feature_4_mean_lag1_autocorr_WINDOW_1(0.031)","feature_3_median_WINDOW_3(0.281), feature_3_median_WINDOW_1(0.188), feature_10_ext_metric_resid_std_WINDOW_2(0.175), feature_12(0.166), feature_1_block_slope_WINDOW_3(0.118)"
RUN_033,2025-04-12,0.35645813763498047,"feature_3_median_WINDOW_1(0.347), feature_3_median_WINDOW_2(0.119), feature_3_median_WINDOW_3(0.111), feature_12(0.022), feature_3_slope_WINDOW_3(0.020)","feature_7_slope_WINDOW_2(0.249), feature_9_resid_std_WINDOW_2(0.015), feature_1_block_median_WINDOW_3(0.009), feature_17(0.006), feature_3_median_WINDOW_2(-0.002)"
RUN_034,2025-04-15,0.3589343221576369,"feature_3_median_WINDOW_2(0.212), feature_3_median_WINDOW_1(0.207), feature_3_median_WINDOW_3(0.093), feature_16(0.029), feature_3_slope_WINDOW_3(0.028)","feature_7_slope_WINDOW_2(0.824), feature_17(0.039), feature_3_slope_WINDOW_3(0.024), feature_12(0.021), feature_1_block_median_WINDOW_1(0.012)"
RUN_035,2025-04-18,0.22779873664765982,"feature_3_median_WINDOW_1(0.168), feature_3_median_WINDOW_2(0.143), feature_3_median_WINDOW_3(0.073), feature_1_block_median_WINDOW_1(0.048), feature_7_slope_WINDOW_2(0.042)","feature_7_slope_WINDOW_2(0.988), feature_1_block_median_WINDOW_1(0.028), feature_3_lag1_autocorr_WINDOW_3(0.022), feature_3_median_WINDOW_2(0.017), feature_3_median_WINDOW_1(0.011)"
