,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75
feature_1_block_dominant_freq_WINDOW_1,0.008101743104758974,0.0379999214646107,0.018657342384863385,0.037128251928426385,0.06553465394857305,0.033284723544638024,0.16692345665772054,0.0033605131947767155,0.0162881233318682,0.011122956210635769,0.04894674035350519,0.05576893963622316,0.0005546993863403286,0.007378303098552907,0.042857648024541874,0.07064334714034218,0.11880656951657598,0.023381850982886327,0.02316279597019999,0.01650571167420748,0.001039191119884165,0.0010433495062162886,0.019870884988277875,0.04768814813248632,0.0028193225837346105,0.0025123092017778005,0.015371459851238303,0.007654525193542617,0.00014915009819903874,0.0003939563708111349,5.361241837915607e-05,0.010741757405799253,0.0029668415113053566,0.013098504907378251,0.0029715462638204293,0.0005041087367085484,0.00021093780283486054,3.252658242915725e-06,0.002239754783119287,0.002218288052125746,0.0007741928577562503,0.0009122655624019512,0.01428984287933053,1.6217374734284502e-06,0.0007142568413547359,0.005785346719189457,0.006754596491223121,0.0007679623788211543,0.014071001908585718,0.0029161391489521075,0.0012999452223943031,0.00566326432272619,0.00021291609490501593,0.009177289287260906,0.0007439379336750866,0.0002823019802866784,0.0036590435776180357,0.00029258910242666437,1.7019327536157695e-05,2.0130248475824847e-06,6.0924852500443015e-05,4.7753866497101476e-06,3.5735357215481976e-05,5.386168633176255e-07,3.7455643352734164e-06,7.057459487466519e-07,3.756786750484088e-08,1.5798084410222288e-07,7.073846581425534e-10,2.0433257211753094e-12,7.508723564922112e-12,1.6483256395425436e-11,0.0,0.0,0.0
feature_1_block_dominant_freq_WINDOW_2,5.138062008196323e-06,0.05002017243959343,0.0957835916031898,0.0011916145978612732,0.07446496251443818,0.0876954449741157,0.007283801012687409,0.04818936032293719,0.11075098041533946,0.010352095380392445,0.027954870743300414,7.373484216293172e-06,0.0014594814640015495,0.004968294859459054,0.07170284776787236,0.034405112143503246,0.013146942970954527,0.04199245966575038,0.05217353790031942,0.010181854104222409,7.01286108355317e-05,0.019070861863866775,0.006540254848182905,0.037028225955274933,0.014088756877159317,6.655119736791147e-06,0.023614647503677005,0.006197532748129791,0.0051996343648601905,0.0007819753970683256,1.5096322571779457e-05,0.00621982336578321,0.0011489673294444458,0.017452864829583945,0.0009848817316134414,7.451375873944906e-05,0.030659307135294793,0.0263297034094751,0.002215527635859753,0.019268567386939266,0.005821577067555153,3.81463926467801e-05,0.01105675164277214,0.004931915886972244,2.977203609935743e-05,0.0015850039203480157,0.000543653919487882,0.0013678544598024211,0.0013632967384769868,0.002961148635295953,0.001982602838232321,0.0025100474484104247,0.003272443260132873,0.007419449418723994,8.948696264867828e-05,0.0012097198590191834,0.00024289090677693254,0.0011471139131226105,4.6717768773514425e-05,4.697804823846345e-05,1.9023431679216065e-06,1.6763677922548087e-06,1.6644759979628747e-05,1.3678357021322459e-05,2.160796869645663e-06,2.6565232927279394e-06,2.0661141181567402e-07,1.0537313722205235e-09,4.037768315768077e-10,3.5659081413226176e-10,2.6700624386551375e-11,4.076938686525463e-13,1.5634307095521055e-68,2.4695224258361255e-66,4.3615468332669486e-65
feature_1_block_dominant_freq_WINDOW_3,0.009937440970454204,0.007534884688313355,0.05307081430947583,0.026506365338522637,0.000376938138763599,0.02691412243435201,0.0911575170636216,0.011864846150666098,0.06417020543144446,0.18777015957487414,0.06329209423246046,0.0665313181384606,0.0062065783300496126,2.041832197818579e-07,0.004210326641138368,0.0010753406530491125,4.067467762888926e-05,7.146085151152908e-05,0.004902140618023427,0.0004441546404240069,0.033811319590916156,0.008131016926634774,0.05452243339584289,0.024899991134869407,0.0029800648316014038,0.00492279151262936,8.921171776457958e-05,0.08319720716015719,0.0022878476953195905,0.0026147328033774703,0.03443737539554923,0.00033608574283235814,0.0001512002642236198,0.016531504977086154,0.0006692089275457351,0.00030976080677399875,0.010952253268599754,0.03767184444848397,0.006554470594162028,0.020901006889307277,0.005623870331752161,0.002634293934198765,0.000640609408151872,0.0004685584350538298,0.002919222759099366,0.012975339308467792,0.00031807872730499196,4.250014760452187e-06,0.00013559488087752972,0.0032681616255880344,0.003832368982944428,0.0012557928603939075,0.0003982056589278876,4.248734271761355e-06,0.00021791290303896482,0.0007807554995977231,6.455034951711303e-05,0.0005779166214692549,8.428868283461418e-07,3.2197342369981504e-05,0.00016514318916933685,3.184975600791388e-05,8.27172580011908e-07,3.315364709971513e-07,6.533948644161659e-09,1.7572331684051531e-06,6.773410271100389e-07,1.082054855154754e-06,4.1234905744452396e-11,5.371419761921933e-14,1.532587905346385e-11,5.595203465814064e-11,2.6038413121063346e-64,2.6504659115906275e-67,3.8267943124266214e-65
feature_1_block_lag1_autocorr_WINDOW_1,0.015853893841429455,0.006077469975830434,0.0006727840888284712,0.0005496528638511351,0.2204924135268377,0.008465687825058946,0.02610482720638542,0.008295510090412765,0.03071844149576281,0.04082260836498399,0.025069738271891823,0.043278149780486094,0.0004226090107470388,9.430602610413124e-05,0.013353922362361013,0.0001212024825013545,0.05928620321420321,0.01776317127937376,0.01106008348799313,0.0395002631572985,0.059158953587600045,0.03395772526226217,0.029335206743215134,0.040667845641452725,0.025930446313927127,0.00020738185827229546,0.012597580928756022,0.03352938764518085,0.0416993827432272,0.022967630072144817,0.014946906159069847,0.04972672032386534,0.0004891613119509903,2.0051056471331604e-05,0.00397387389033568,0.00033576512067051635,0.0015209778342428213,0.008507077163371839,0.0002100982237673291,0.010676328786907718,0.02081005249133671,0.014104127621255387,8.962302172151346e-05,0.003141270722179586,0.0006056189149823803,0.0017837585821086014,1.0241617275497817e-05,0.003232601266009434,0.0014746266597306093,0.0020009357957092404,1.919199532352017e-06,7.40935462704694e-06,0.0019717152421915474,1.646413553373592e-05,4.221697602684525e-06,6.61777569261029e-05,0.00025866510109025524,0.0002639873026251799,3.3066443784685685e-06,4.696556319552432e-06,8.437480072653843e-06,4.7146812225765445e-05,1.7017814056849385e-05,4.8362748921624674e-06,6.8464752556627306e-06,5.940382280572748e-06,5.061687124489676e-08,2.261951670587251e-07,4.807150188793062e-10,1.9797601933854054e-11,7.993953483524958e-11,1.1095449051053321e-11,5.81701011390137e-67,1.0185573303636351e-64,1.109473924515184e-64
feature_1_block_lag1_autocorr_WINDOW_2,0.020604739955871757,0.002438630140129438,0.005266149215835273,0.001995311573726739,0.05603290887277245,0.0014539348063615147,0.010975759917771315,0.30440323600112296,0.007502016837323129,0.14722132108816027,0.009292601505180645,0.0003503443603964841,0.02129529463025609,0.028321374928710976,0.009725037429504394,0.008817681003241696,0.04507680920097382,0.01988593492220074,0.005427926511670927,0.053310158743047856,0.0005284564986383778,0.000762432105644699,0.009593655321320862,0.03280266889277654,3.81720527357632e-05,0.03429111585510309,0.000967317617953581,7.466801948956954e-06,0.017386817899202836,0.03665461924881988,3.076422795963606e-05,0.0054245094048522915,0.0018456605747533463,0.0015335330710608552,0.0009761456163986175,0.015427850705437564,0.03067248960122912,0.005592591541892199,0.004648491939183176,0.0008312978851383441,0.0014723839823507368,0.0018054180367500206,0.004044491987063623,0.005293473883599624,0.0001775098613254944,0.0033914042848964157,6.818833461243542e-05,0.00011002026045826424,0.0109523390806425,0.0004573958466232157,0.004324678061418896,0.011659971059239762,0.0004239491413641369,0.0005857213798736672,7.441940940700845e-05,0.0029568315867085945,0.0006371392144174239,0.0003980098928203272,3.1288351475001314e-05,3.8285007131402525e-07,1.9552622565186345e-06,5.838754700966384e-05,1.4173177451405156e-05,6.903519326364405e-06,4.187254216365971e-05,8.349144171565974e-07,5.286283012094309e-07,4.601668177505572e-07,4.1076512744190145e-10,2.4583420685418933e-11,1.0845643348966352e-10,3.156330511885117e-11,6.8863003523763815e-65,4.7915807747588324e-65,1.132109668633781e-65
feature_1_block_lag1_autocorr_WINDOW_3,0.001963459535944611,0.018804982879901174,0.004081088478261011,0.036338519479641486,0.10011808818183854,0.09701760739767655,0.03592582088464688,0.08746983288580015,0.10078006506654416,0.007177390298552348,0.006654653071639982,5.2073329797340985e-06,0.011314202702196068,0.058918893307635736,0.006340747844136008,0.00399621463316851,0.008163310395527357,0.00847856173526849,0.014342501425306731,0.012503239637484972,0.04699977240791644,0.029134447140220936,0.01688742290250086,0.005867592567853725,0.03724311869881788,0.01334392976287889,0.10021800183761884,0.0020835547474070903,0.004839253625519046,0.013587027707004831,0.00532281844371336,0.0022334412631575635,0.021572429345995025,0.00597980653891761,0.0022614352871464832,0.0030166093411719878,0.004021622686690613,0.001052275450450341,1.4193648451659317e-05,7.700390911090219e-08,0.03943350552316632,0.003484664619033166,0.0024322926230415523,0.0009190760081008053,0.0011697775504092417,5.7705748580722296e-05,0.0030904297217775605,0.008424690084045427,1.3724518027932485e-05,0.0015496829137582675,0.007445371140817803,0.0002655800044581179,0.0007154059968146842,4.5415735943452375e-06,0.0017854041482539083,0.0009351733805843263,0.000247996719572778,1.8823533307676493e-06,3.2258472932183157e-05,5.4907438345087124e-05,0.00014904786207580717,1.2421485288618378e-06,5.53636299066697e-05,1.941834900938621e-05,3.796489296735749e-05,2.5691416148362422e-06,2.1891413923362188e-07,2.475676178917707e-07,4.676673310064406e-10,1.661454091799855e-10,7.73758696143323e-11,7.351942358429966e-12,3.586754423299728e-65,1.6211363874068615e-64,3.91148505416962e-64
feature_1_block_median_WINDOW_1,0.30492541223106284,0.07264297277186427,0.05023599602300377,0.10426775365011368,0.0022018067647042515,0.018127281548589266,0.004128279127144181,0.0012466511194774846,0.00011129128962068829,0.007706750427935315,0.0386838627696002,0.10206532540103476,0.055491817756574933,2.590472504362168e-06,0.00040342844512615826,0.03522576397428669,0.0020914795965881134,0.008593900350566756,0.003116740101769257,0.0019087698675830207,0.006955766401732394,0.0005287993488030444,0.0012928443509601214,0.005346679071532101,0.01422164503994711,0.04725068665960362,0.027275103284560464,0.000716463277409746,0.004304363841225439,0.0008511594924058951,0.012603826292333961,0.0029810023138424676,0.013147329264118593,0.002850182519815382,0.0007027631941541234,0.00228297012595271,0.01113709151513292,0.0028775337556302223,0.005846002343177859,0.0006394792408344187,0.0017057143389205885,0.0008430022229433558,0.0018279713161128285,1.2322968511992365e-05,0.010238633705443388,0.00026684428192184635,4.8486859956746536e-05,0.001996606470199577,0.0015762067379219095,0.004124119552166946,0.00017828568978463857,0.0018269462698571738,0.0003706037458901974,1.2698276702817493e-07,0.0001224823436341967,0.0004388321675979756,1.966768098166871e-05,0.0005912565027360945,0.00029531628445625705,0.0001380472082846482,0.0013844847963069486,0.00228098678293121,3.9511576813924775e-06,0.0007647349203373133,0.00033234508633337654,1.4958936485564138e-05,5.776171741928336e-07,1.0282395726737987e-05,1.5544796612808586e-10,7.25397693258272e-11,3.646551769280216e-10,7.065078207344e-10,3.383942051260156e-65,1.0136717945241496e-63,2.0532995654645454e-64
feature_1_block_median_WINDOW_2,0.6474180914791752,0.058424268084393424,0.05245865466409636,0.05941520009174887,8.414893083793586e-05,0.0029652183725313525,0.002611636185845832,0.0010732513099132766,0.0001363228632598118,0.0001742243156697161,0.009751756743130351,0.030549980975798165,0.024392338482474758,0.0030375528924448053,0.0018299881630586795,0.012324693544540846,0.0002980581695515441,0.005068500855705805,0.002230041877444789,0.0007375784279613745,0.00886946057660887,0.0017568199098412977,0.0006030203254191631,0.00163213950053132,0.007577192072954836,0.012829172412508427,0.004636660422759972,0.0001820465237040087,0.005314591611326837,7.357386841441402e-06,0.003583660963194894,0.0004470658821267412,0.0008316832882828832,0.002678776479972706,0.000723150871687013,5.688256447629917e-07,0.009403463608296749,0.003375651966027406,0.0031648252834195344,0.0010948445513539312,0.00039842890607904376,0.004471431596216037,0.0017614809960801341,0.00015206319543654303,0.0028716191586081736,0.0018930983038693958,0.0012218006267285127,0.0006193052154884257,1.4364220536851845e-05,0.001101920466167352,0.00027867754024129383,0.00040307698489512996,0.00028032618732021106,0.00022911794776900936,0.0005892587406448682,4.171620616868114e-06,5.2106783410990355e-05,0.0009665024376441256,0.0008506858133314219,0.0001202309136159647,0.0006854199063042169,0.0025592437166839623,1.3427059871727185e-05,0.0025196674904361745,0.0005060420086770544,0.00011834688361939993,1.921180918099809e-06,2.595662756961334e-05,1.9856372371234992e-10,5.4872144660262996e-09,2.2535850460857965e-10,4.012536835001627e-09,9.852014262705534e-65,1.954336440043865e-64,7.36029457193793e-65
feature_1_block_median_WINDOW_3,0.7906600699511563,0.049657075141388,0.03335884390400274,0.023364835876033288,8.74338684004914e-06,0.0011652047734717682,0.0006195875726722999,0.0014390924157122794,0.0025267437060347412,6.867744489977068e-05,0.00039664175356598423,0.006729339836382174,0.009898857731077584,0.013983594075014413,0.00018041986422921502,0.003222772708543623,0.0036681617539850472,0.003714427180478582,0.0015185616470529163,0.00015431483403800707,0.0004743010607668453,0.0012412121407425342,0.00043572793409634033,0.00038978698468114764,0.000172312542645455,0.0082282492247052,1.22398127107356e-05,0.0007245552118754184,0.0050449462431134354,0.0006468955609324291,0.0005192470774826583,0.0005257356995631259,0.0003256721432428869,0.0014750077396084107,0.004982635425652024,0.0011409960043443023,0.009721357313872196,0.0003486254242835828,0.0024933548969596274,3.76052724635553e-05,0.003134339381588107,0.004211896923541664,0.0007551507649578109,0.0002650522646132319,0.0016049874545862584,1.6795656542503307e-05,2.6653413581677556e-05,0.0037629166449324883,0.00013598894265540444,0.0014047267688469002,0.00038942423898785054,5.852112480262102e-07,0.0001618187934575309,0.0003088895328475915,0.0008932090088335774,6.170896353762721e-05,1.3322092007431376e-05,0.00011681265554656833,0.00012682933311755246,4.09405210054789e-05,0.0002565694317526376,0.0007738684903980559,3.333391057813464e-05,0.00032180747608238447,0.004234708673764587,6.314965013892848e-05,1.0920687313907562e-05,5.165968236150061e-07,1.75963655736258e-10,4.019165888711484e-09,3.154164826016589e-09,1.241637045809119e-09,4.838786170136431e-65,1.959244341809452e-65,4.25819885202773e-65
feature_1_block_resid_std_WINDOW_1,0.011116185004876359,0.013665907363208296,0.11514383013077491,0.05037159775858994,0.12909630692863733,0.009692194793106564,0.1300373773199498,0.013026569485664071,0.023390234597923255,0.006189767594205859,0.011874638748391906,0.01937426324927784,0.00607167535870873,0.1319993654195587,9.935376818198571e-05,0.00974457734338023,0.030964376572691608,0.0520457365866697,0.03589309137266898,0.0118201063408589,0.0018202049071300167,0.0006117550983297008,0.033738737125613955,0.005866849370679637,0.010631774566858473,0.0002226082876834753,0.0059881397920675625,0.0011788659547613972,0.007322243129209445,0.0037810205732160865,2.664330034540693e-05,0.01167050828840598,0.000399685599299965,0.0001680016910622077,0.006494890077064078,0.0019483381267551465,7.568336649658949e-05,0.010347038348823022,0.006342633348702802,0.01302954544915815,0.0020137394597055597,0.009350203468770451,2.5794932127672775e-05,8.939484644181605e-07,0.0008899675813500522,0.00884265641041043,0.012231139892877474,0.004277413337485357,0.014709392967657806,0.001597204310372931,0.0034063707519096853,0.004262554176520308,0.002144941539343996,0.004508660643318046,0.003593254999450583,0.0009759627427403407,0.0017888285420232651,0.0004685160105360896,8.271308725580813e-06,4.157766266652438e-06,1.4542704341635807e-08,5.08904698878651e-06,7.906547916133277e-06,2.3213561767854327e-06,9.679684584385718e-10,5.593437748713307e-06,1.720739859659585e-07,1.6006424918548635e-08,3.568840389395316e-10,6.644732491181796e-11,2.5193157055957187e-12,9.729089366308993e-12,8.600048991692874e-66,4.1814157566003787e-66,9.074787893026602e-67
