Feature,PC,r,p_value
feature_1_block_dominant_freq_WINDOW_1,PC1,0.05620109775190363,0.5420669397918599
feature_1_block_dominant_freq_WINDOW_1,PC2,-0.24100660827928727,0.00800954140161052
feature_1_block_dominant_freq_WINDOW_1,PC3,0.1797898790405214,0.04942266991308968
feature_1_block_dominant_freq_WINDOW_1,PC4,0.21201616367819248,0.020087741480134296
feature_1_block_dominant_freq_WINDOW_1,PC5,-0.25480143453768767,0.004977189730421503
feature_1_block_dominant_freq_WINDOW_1,PC6,0.17868258843666654,0.05086389375930736
feature_1_block_dominant_freq_WINDOW_1,PC7,-0.37426738336739707,2.541529450932654e-05
feature_1_block_dominant_freq_WINDOW_1,PC8,0.062352028156710496,0.4986967713030636
feature_1_block_dominant_freq_WINDOW_1,PC9,-0.11841374073361208,0.1977050891127218
feature_1_block_dominant_freq_WINDOW_1,PC10,0.11456211321821447,0.2127878663268322
feature_1_block_dominant_freq_WINDOW_1,PC11,0.2080018145386458,0.022626083288024856
feature_1_block_dominant_freq_WINDOW_1,PC12,0.2001242902054886,0.0284137779893905
feature_1_block_dominant_freq_WINDOW_1,PC13,-0.0322294028266647,0.7267508850359711
feature_1_block_dominant_freq_WINDOW_1,PC14,-0.06402405274216746,0.48723040141309637
feature_1_block_dominant_freq_WINDOW_1,PC15,-0.2021371722306074,0.02682654515187981
feature_1_block_dominant_freq_WINDOW_1,PC16,0.26850654580613054,0.0030247881918628867
feature_1_block_dominant_freq_WINDOW_1,PC17,0.3507181663526539,8.593759846880415e-05
feature_1_block_dominant_freq_WINDOW_1,PC18,-0.13974618048345666,0.12793400791144685
feature_1_block_dominant_freq_WINDOW_1,PC19,0.15528789271887578,0.09034546769025043
feature_1_block_dominant_freq_WINDOW_1,PC20,0.1264262624103889,0.16883333405224651
feature_1_block_dominant_freq_WINDOW_1,PC21,-0.005276121650349741,0.9543918899243473
feature_1_block_dominant_freq_WINDOW_1,PC22,0.025211904283184712,0.7845955273906392
feature_1_block_dominant_freq_WINDOW_1,PC23,-0.1289389285506049,0.16045669477587488
feature_1_block_dominant_freq_WINDOW_1,PC24,-0.2162228141878744,0.01769490657169769
feature_1_block_dominant_freq_WINDOW_1,PC25,-0.04239783185300956,0.6456665968575352
feature_1_block_dominant_freq_WINDOW_1,PC26,-0.04334683079574419,0.6382895229260303
feature_1_block_dominant_freq_WINDOW_1,PC27,-0.08879000451042521,0.33485970264454684
feature_1_block_dominant_freq_WINDOW_1,PC28,0.10629307146625613,0.2478974019889934
feature_1_block_dominant_freq_WINDOW_1,PC29,-0.030866234535245993,0.737879078956567
feature_1_block_dominant_freq_WINDOW_1,PC30,0.004000620921925185,0.9654097265678301
feature_1_block_dominant_freq_WINDOW_1,PC31,0.008161929601643816,0.929499087018295
feature_1_block_dominant_freq_WINDOW_1,PC32,0.09876053393256681,0.2831949846996152
feature_1_block_dominant_freq_WINDOW_1,PC33,0.08417804090304243,0.3606663157139582
feature_1_block_dominant_freq_WINDOW_1,PC34,0.09385904461640555,0.30788713406219603
feature_1_block_dominant_freq_WINDOW_1,PC35,-0.049697112812146546,0.5898595228730656
feature_1_block_dominant_freq_WINDOW_1,PC36,-0.01418660141691594,0.8777772627405152
feature_1_block_dominant_freq_WINDOW_1,PC37,0.02851782160118603,0.7571768921968804
feature_1_block_dominant_freq_WINDOW_1,PC38,-0.0040855995160597285,0.9646754515967811
feature_1_block_dominant_freq_WINDOW_1,PC39,0.036446256527352616,0.6926944232348909
feature_1_block_dominant_freq_WINDOW_1,PC40,0.048832913401326,0.5963513140212735
feature_1_block_dominant_freq_WINDOW_1,PC41,-0.06257554362555602,0.4971557969771364
feature_1_block_dominant_freq_WINDOW_1,PC42,-0.017470330412520003,0.8497877972633233
feature_1_block_dominant_freq_WINDOW_1,PC43,-0.12766550442681604,0.16466238604889535
feature_1_block_dominant_freq_WINDOW_1,PC44,-0.019503355045240443,0.8325498683667724
feature_1_block_dominant_freq_WINDOW_1,PC45,-0.037841668030000164,0.6815544769110825
feature_1_block_dominant_freq_WINDOW_1,PC46,0.0627024554502487,0.49628194949373217
feature_1_block_dominant_freq_WINDOW_1,PC47,-0.11866594379801004,0.19674513202754973
feature_1_block_dominant_freq_WINDOW_1,PC48,0.036487026976929335,0.6923679952939389
feature_1_block_dominant_freq_WINDOW_1,PC49,-0.10056250533377442,0.27445983036312993
feature_1_block_dominant_freq_WINDOW_1,PC50,0.0552236205547499,0.5491262319710374
feature_1_block_dominant_freq_WINDOW_1,PC51,0.0398362413544603,0.6657500582219045
feature_1_block_dominant_freq_WINDOW_1,PC52,-0.031169341546341527,0.7353998843889868
feature_1_block_dominant_freq_WINDOW_1,PC53,0.007156541042652519,0.93816501467371
feature_1_block_dominant_freq_WINDOW_1,PC54,0.08794031228842927,0.3395237621167895
feature_1_block_dominant_freq_WINDOW_1,PC55,-0.022405214552259366,0.808084145987197
feature_1_block_dominant_freq_WINDOW_1,PC56,-0.014336522134831657,0.8764958212372703
feature_1_block_dominant_freq_WINDOW_1,PC57,0.08023619948715618,0.3836726203051104
feature_1_block_dominant_freq_WINDOW_1,PC58,0.010650326778765332,0.9080879818662402
feature_1_block_dominant_freq_WINDOW_1,PC59,-0.007403579726317937,0.9360349599581825
feature_1_block_dominant_freq_WINDOW_1,PC60,0.014194612094290848,0.8777087837606059
feature_1_block_dominant_freq_WINDOW_1,PC61,0.003905955861319574,0.9662277335090009
feature_1_block_dominant_freq_WINDOW_1,PC62,0.017564004303394373,0.8489919146482721
feature_1_block_dominant_freq_WINDOW_1,PC63,0.0023800034033742076,0.9794178385603365
feature_1_block_dominant_freq_WINDOW_1,PC64,-0.004672794807014106,0.9596025114569242
feature_1_block_dominant_freq_WINDOW_1,PC65,0.0064451338625816056,0.9443014066179769
feature_1_block_dominant_freq_WINDOW_1,PC66,0.006609019499831833,0.9428874741985086
feature_1_block_dominant_freq_WINDOW_1,PC67,-0.003051408959422998,0.9736134139551367
feature_1_block_dominant_freq_WINDOW_1,PC68,-0.008307487796161014,0.9282451104065697
feature_1_block_dominant_freq_WINDOW_1,PC69,-0.028344085298013397,0.7586106719098238
feature_1_block_dominant_freq_WINDOW_1,PC70,-0.01969532329447144,0.8309261434788318
feature_1_block_dominant_freq_WINDOW_1,PC71,-0.00194617239647768,0.9831689787571286
feature_1_block_dominant_freq_WINDOW_1,PC72,-0.0164321967173181,0.85861804838604
feature_1_block_dominant_freq_WINDOW_1,PC73,0.013598236345773604,0.8828093155288352
feature_1_block_dominant_freq_WINDOW_1,PC74,0.010136413189373472,0.9125050021099741
feature_1_block_dominant_freq_WINDOW_1,PC75,-0.014761596500149542,0.8728642627794386
feature_1_block_dominant_freq_WINDOW_2,PC1,0.01181962964987806,0.8980486349442477
feature_1_block_dominant_freq_WINDOW_2,PC2,-0.24626430857876935,0.0067011260374809966
feature_1_block_dominant_freq_WINDOW_2,PC3,0.3247800776917209,0.00029554747339754275
feature_1_block_dominant_freq_WINDOW_2,PC4,-0.03710561113220935,0.6874222616099706
feature_1_block_dominant_freq_WINDOW_2,PC5,-0.25250541466897425,0.00539681685777686
feature_1_block_dominant_freq_WINDOW_2,PC6,0.3021367090297178,0.0007969890630643188
feature_1_block_dominant_freq_WINDOW_2,PC7,-0.07498201642803838,0.4156815516354485
feature_1_block_dominant_freq_WINDOW_2,PC8,0.24348096043386158,0.007368016456501568
feature_1_block_dominant_freq_WINDOW_2,PC9,0.3215427327617617,0.00034222763652253673
feature_1_block_dominant_freq_WINDOW_2,PC10,-0.09703347646058595,0.29173967750938296
feature_1_block_dominant_freq_WINDOW_2,PC11,0.18300324443860505,0.04543055465172964
feature_1_block_dominant_freq_WINDOW_2,PC12,0.0005089652940379712,0.9955980312531676
feature_1_block_dominant_freq_WINDOW_2,PC13,-0.05149765614024251,0.5764383466557722
feature_1_block_dominant_freq_WINDOW_2,PC14,0.062114751604598006,0.5003353569000377
feature_1_block_dominant_freq_WINDOW_2,PC15,0.254307021339261,0.005065005693751898
feature_1_block_dominant_freq_WINDOW_2,PC16,-0.14954087179473852,0.10306512969848115
feature_1_block_dominant_freq_WINDOW_2,PC17,-0.08694468310768894,0.3450409492662184
feature_1_block_dominant_freq_WINDOW_2,PC18,0.20472108340958778,0.02490034050340296
feature_1_block_dominant_freq_WINDOW_2,PC19,0.23569186566777556,0.009556772350476412
feature_1_block_dominant_freq_WINDOW_2,PC20,-0.11971763329903251,0.19277842190420919
feature_1_block_dominant_freq_WINDOW_2,PC21,-0.0036976815572635907,0.9680275676288705
feature_1_block_dominant_freq_WINDOW_2,PC22,-0.13583718489205696,0.13905678963367238
feature_1_block_dominant_freq_WINDOW_2,PC23,-0.07699026596242861,0.4032674530202335
feature_1_block_dominant_freq_WINDOW_2,PC24,-0.17904123060259206,0.05039333610965102
feature_1_block_dominant_freq_WINDOW_2,PC25,0.11413466243456996,0.2145109797295142
feature_1_block_dominant_freq_WINDOW_2,PC26,0.004225617918051587,0.9634656586718018
feature_1_block_dominant_freq_WINDOW_2,PC27,0.11931053421413283,0.19430695861349473
feature_1_block_dominant_freq_WINDOW_2,PC28,-0.07067026302557718,0.4430752068484417
feature_1_block_dominant_freq_WINDOW_2,PC29,-0.07179905546919156,0.43580696035720723
