,mean_abs_shap
feature_13,0.07438697212766458
feature_16,0.052942966337085236
feature_8_mean_WINDOW_2,0.04956339683313747
feature_12,0.04755426890956337
PC1,0.03944232213534991
feature_17,0.021783140603750948
PC4,0.016043975689047713
PC3,0.01570958840402017
feature_10_ext_metric_median_WINDOW_3,0.014988301702372333
feature_10_ext_metric_median_WINDOW_2,0.013862876732538462
feature_9_median_WINDOW_3,0.012953336985130579
feature_9_median_WINDOW_2,0.012901146819593094
feature_10_ext_metric_median_WINDOW_1,0.011971002647283794
feature_9_median_WINDOW_1,0.011608570992793084
feature_18,0.01014177163178063
PC11,0.007752991302783807
PC2,0.005488702262777158
PC8,0.005393436002184601
feature_4_mean_resid_std_WINDOW_1,0.005333352080648334
feature_4_mean_median_WINDOW_3,0.004991087978335713
PC22,0.004311746271973647
feature_4_mean_median_WINDOW_2,0.0037227655868098957
PC6,0.0035746322929781317
feature_10_ext_metric_lag1_autocorr_WINDOW_2,0.003546899718307769
PC7,0.0034535076617209686
feature_10_ext_metric_resid_std_WINDOW_2,0.003226562788450048
feature_4_mean_lag1_autocorr_WINDOW_1,0.0031774148280796386
PC14,0.003151270871250319
PC18,0.003102497814256896
PC16,0.0029989875620448506
feature_9_slope_WINDOW_2,0.0029284228550028645
feature_4_mean_median_WINDOW_1,0.0028720686151046866
PC9,0.0026262649714605623
feature_19,0.0025344766808816795
PC23,0.0024861452014846627
feature_9_slope_WINDOW_3,0.0023668308132748996
cai_f1_over_f3_WINDOW_3,0.002366503692075209
feat__z_f8_yj_x_z_f9__WINDOW_2,0.0023382197973903698
PC21,0.0021842350950327053
PC17,0.0021746883419833237
PC5,0.0021410004942909355
cai_f1_over_f3_WINDOW_1,0.002119241475186941
PC12,0.002048062674187963
cai_f1_over_f3_WINDOW_2,0.0019964321345487786
feature_9_slope_WINDOW_1,0.0019811075935076412
feature_4_mean_slope_WINDOW_3,0.001979704736267063
feature_4_mean_lag1_autocorr_WINDOW_3,0.0017514821687555644
feature_10_ext_metric_lag1_autocorr_WINDOW_3,0.001679006399037047
feature_10_ext_metric_resid_std_WINDOW_3,0.0013795930040111357
PC13,0.0013475899184949263
feat__z_f17_x_z_delta_f16_drop,0.0010823141940402758
feature_4_mean_slope_WINDOW_2,0.0009903333085297273
