PC,Rank,Feature,cos2
PC1,1,feature_7_median_WINDOW_3,0.87829077579799
PC1,2,feature_7_median_WINDOW_2,0.8777122909585103
PC1,3,feature_7_median_WINDOW_1,0.8763291409504572
PC1,4,feature_6_median_WINDOW_1,0.8420532065762214
PC1,5,feature_6_median_WINDOW_2,0.8404220195992648
PC1,6,feature_6_median_WINDOW_3,0.8386421235850454
PC1,7,feature_1_block_median_WINDOW_3,0.7906600699511563
PC1,8,feature_1_block_median_WINDOW_2,0.6474180914791752
PC1,9,feature_1_block_slope_WINDOW_2,0.5286663322860393
PC1,10,feature_1_block_slope_WINDOW_3,0.5191737385205096
PC1,11,feature_5_median_WINDOW_2,0.40687926779519273
PC1,12,feature_1_block_slope_WINDOW_1,0.40321546475926473
PC1,13,feature_5_median_WINDOW_3,0.3449177356369184
PC1,14,feature_5_median_WINDOW_1,0.3431218640256986
PC1,15,feature_1_block_median_WINDOW_1,0.30492541223106284
PC1,16,feature_7_resid_std_WINDOW_3,0.070387703855454
PC1,17,feature_7_resid_std_WINDOW_1,0.07031752354791582
PC1,18,feature_7_resid_std_WINDOW_2,0.06712423371726241
PC1,19,feature_7_slope_WINDOW_3,0.06263561211478419
PC1,20,feature_7_slope_WINDOW_1,0.05534991880470972
PC2,1,feature_7_resid_std_WINDOW_3,0.5106292611499162
PC2,2,feature_7_resid_std_WINDOW_1,0.5091895171468245
PC2,3,feature_7_resid_std_WINDOW_2,0.4988838500373779
PC2,4,feature_6_resid_std_WINDOW_2,0.41261401977359097
PC2,5,feature_6_resid_std_WINDOW_1,0.3910340528952469
PC2,6,feature_7_slope_WINDOW_2,0.3875058557381579
PC2,7,feature_6_resid_std_WINDOW_3,0.3859587364615849
PC2,8,feature_7_slope_WINDOW_1,0.38255817496724376
PC2,9,feature_6_lag1_autocorr_WINDOW_3,0.3618760631106664
PC2,10,feature_6_lag1_autocorr_WINDOW_2,0.3518698408047421
PC2,11,feature_3_median_WINDOW_3,0.2340250546094408
PC2,12,feature_3_median_WINDOW_2,0.23337983196847592
PC2,13,feature_6_lag1_autocorr_WINDOW_1,0.19876422512998537
PC2,14,feature_3_median_WINDOW_1,0.18961642347575355
PC2,15,feature_6_slope_WINDOW_2,0.16109849496057893
PC2,16,feature_3_dominant_freq_WINDOW_3,0.1162258831200614
PC2,17,feature_1_block_resid_std_WINDOW_3,0.11255704926283451
